Fecha,Turno,Posicion,Numero
15/07/2024,Vespertina,01,057
15/07/2024,Vespertina,02,790
15/07/2024,Vespertina,03,449
15/07/2024,Vespertina,04,715
15/07/2024,Vespertina,05,231
15/07/2024,Vespertina,06,377
15/07/2024,Vespertina,07,148
15/07/2024,Vespertina,08,968
15/07/2024,Vespertina,09,828
15/07/2024,Vespertina,10,833
15/07/2024,Vespertina,11,451
15/07/2024,Vespertina,12,828
15/07/2024,Vespertina,13,813
15/07/2024,Vespertina,14,014
15/07/2024,Vespertina,15,889
15/07/2024,Vespertina,16,649
15/07/2024,Vespertina,17,781
15/07/2024,Vespertina,18,188
15/07/2024,Vespertina,19,219
15/07/2024,Vespertina,20,571
13/07/2024,Nocturna,01,416
13/07/2024,Nocturna,02,454
13/07/2024,Nocturna,03,288
13/07/2024,Nocturna,04,927
13/07/2024,Nocturna,05,274
13/07/2024,Nocturna,06,324
13/07/2024,Nocturna,07,192
13/07/2024,Nocturna,08,168
13/07/2024,Nocturna,09,306
13/07/2024,Nocturna,10,535
13/07/2024,Nocturna,11,303
13/07/2024,Nocturna,12,700
13/07/2024,Nocturna,13,295
13/07/2024,Nocturna,14,293
13/07/2024,Nocturna,15,815
13/07/2024,Nocturna,16,408
13/07/2024,Nocturna,17,820
13/07/2024,Nocturna,18,585
13/07/2024,Nocturna,19,845
13/07/2024,Nocturna,20,461
12/07/2024,Nocturna,01,758
12/07/2024,Nocturna,02,354
12/07/2024,Nocturna,03,287
12/07/2024,Nocturna,04,534
12/07/2024,Nocturna,05,600
12/07/2024,Nocturna,06,907
12/07/2024,Nocturna,07,475
12/07/2024,Nocturna,08,106
12/07/2024,Nocturna,09,017
12/07/2024,Nocturna,10,018
12/07/2024,Nocturna,11,005
12/07/2024,Nocturna,12,779
12/07/2024,Nocturna,13,095
12/07/2024,Nocturna,14,271
12/07/2024,Nocturna,15,227
12/07/2024,Nocturna,16,442
12/07/2024,Nocturna,17,228
12/07/2024,Nocturna,18,578
12/07/2024,Nocturna,19,351
12/07/2024,Nocturna,20,476
12/07/2024,Vespertina,01,870
12/07/2024,Vespertina,02,419
12/07/2024,Vespertina,03,568
12/07/2024,Vespertina,04,769
12/07/2024,Vespertina,05,447
12/07/2024,Vespertina,06,605
12/07/2024,Vespertina,07,742
12/07/2024,Vespertina,08,871
12/07/2024,Vespertina,09,784
12/07/2024,Vespertina,10,779
12/07/2024,Vespertina,11,563
12/07/2024,Vespertina,12,280
12/07/2024,Vespertina,13,415
12/07/2024,Vespertina,14,188
12/07/2024,Vespertina,15,484
12/07/2024,Vespertina,16,443
12/07/2024,Vespertina,17,631
12/07/2024,Vespertina,18,948
12/07/2024,Vespertina,19,923
12/07/2024,Vespertina,20,222
11/07/2024,Nocturna,01,874
11/07/2024,Nocturna,02,760
11/07/2024,Nocturna,03,660
11/07/2024,Nocturna,04,560
11/07/2024,Nocturna,05,291
11/07/2024,Nocturna,06,188
11/07/2024,Nocturna,07,756
11/07/2024,Nocturna,08,756
11/07/2024,Nocturna,09,998
11/07/2024,Nocturna,10,161
